trial,sort,pattern_stimuli,choice_stimuli_1,choice_stimuli_2,correct_answer,rewarded_answer,prob_violation,condition,feedback_time_duration,mood_rating,leftright_counter,repetition,pair,stim1,stim2,stim_left,stim_right,raw_choice_stimuli_1,raw_choice_stimuli_2,feedback,raw_correct_answer,raw_rewarded_answer,longdelay,break_trial
14,1,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,1,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
15,74,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,j,1,short3low,750,0,0,2,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,0,f,j,0,0
16,128,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,1,0,2,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
17,38,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,f,1,long1low,7000,0,1,2,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,0,f,j,1,0
18,110,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,2,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
19,20,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,j,1,long2low,7000,1,0,2,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,0,f,j,1,0
20,56,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,2,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
21,2,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,2,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
22,92,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,0,0,2,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
23,57,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,1,0,3,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
24,111,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,3,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
25,3,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,j,1,short4low,750,1,0,3,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,0,f,j,0,0
26,93,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,f,1,long4low,7000,0,1,3,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,0,f,j,1,0
27,21,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,0,1,3,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
28,129,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,0,1,3,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
29,39,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,3,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
30,75,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,0,1,3,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,1
31,22,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,0,1,4,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
32,130,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,4,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
33,112,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,1,1,4,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
34,4,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,1,short2high,750,0,0,4,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
35,94,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,0,0,4,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
36,58,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,1,1,4,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
37,76,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,4,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
38,40,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,4,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
39,23,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,0,0,5,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
40,77,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,5,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
41,5,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,5,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
42,41,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,1,0,5,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
43,95,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,j,0,short2low,750,0,0,5,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,0,f,j,0,0
44,59,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,f,1,long3low,7000,0,1,5,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,0,f,j,1,0
45,131,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,5,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
46,113,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,j,1,short1low,750,0,0,5,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,0,f,j,0,0
47,6,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,1,0,6,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
48,24,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,f,1,long2low,7000,0,1,6,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,0,f,j,1,0
49,132,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,6,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
50,42,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,0,1,6,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
51,78,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,j,1,long1low,7000,0,0,6,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,0,f,j,1,0
52,96,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,1,1,6,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
53,114,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,f,1,short3low,750,0,1,6,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,0,f,j,0,0
54,60,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,6,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,1
55,25,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,7,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
56,115,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,7,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
57,7,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,f,1,short1low,750,1,1,7,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,0,f,j,0,0
58,133,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,j,1,short4low,750,0,0,7,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,0,f,j,0,0
59,79,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,0,0,7,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
60,61,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,f,1,long3low,7000,1,1,7,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,0,f,j,1,0
61,97,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,7,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
62,43,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,7,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
63,26,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,1,1,8,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
64,98,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,0,0,8,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
65,80,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,0,0,8,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
66,44,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,8,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
67,134,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,0,1,8,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
68,62,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,1,1,8,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
69,8,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,j,1,long4low,7000,0,0,8,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,0,f,j,1,0
70,116,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,8,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
71,135,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,9,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
72,45,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,1,0,9,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
73,117,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,0,1,9,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
74,81,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,0,0,9,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
75,27,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,9,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
76,99,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,9,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
77,63,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,j,1,short3low,750,1,0,9,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,0,f,j,0,0
78,9,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,0,0,9,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
79,136,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,10,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,1
80,46,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,0,1,10,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
81,82,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,10,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
82,100,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,f,1,short2low,750,1,1,10,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,0,f,j,0,0
83,10,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,10,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
84,118,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,10,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
85,28,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,1,1,10,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
86,64,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,10,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
87,47,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,0,0,11,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
88,101,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,0,0,11,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
89,119,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,11,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
90,29,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,11,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
91,65,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,f,1,long2low,7000,0,1,11,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,0,f,j,1,0
92,137,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,f,0,short1low,750,1,1,11,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,0,f,j,0,0
93,11,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,f,1,long4low,7000,1,1,11,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,0,f,j,1,0
94,83,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,0,0,11,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
95,120,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,1,short1high,750,0,0,12,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
96,12,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,12,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
97,102,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,0,0,12,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
98,48,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,j,0,long1high,7000,1,1,12,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
99,30,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,0,0,12,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
100,138,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,f,1,short4low,750,0,1,12,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,0,f,j,0,0
101,66,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,f,1,short2low,750,0,1,12,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,0,f,j,0,0
102,84,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,j,1,long3low,7000,1,0,12,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,0,f,j,1,0
103,121,images/pattern_7.png,images/choice_trial_14.png,images/choice_trial_13.png,j,j,0,short1high,750,0,1,13,7,13,14,14,13,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
104,67,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,13,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,1
105,103,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,13,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
106,31,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,f,0,short2high,750,0,0,13,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
107,139,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,1,0,13,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
108,13,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,0,0,13,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
109,85,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,j,1,long2low,7000,0,0,13,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,0,f,j,1,0
110,49,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,0,0,13,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
111,104,images/pattern_5.png,images/choice_trial_9.png,images/choice_trial_10.png,f,j,1,short2low,750,0,0,14,5,9,10,9,10,images/choice_trial_9.png,images/choice_trial_10.png,0,f,j,0,0
112,122,images/pattern_6.png,images/choice_trial_11.png,images/choice_trial_12.png,f,f,0,short3high,750,1,0,14,6,11,12,11,12,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
113,14,images/pattern_1.png,images/choice_trial_2.png,images/choice_trial_1.png,j,j,0,long4high,7000,0,1,14,1,1,2,2,1,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
114,86,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,14,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
115,68,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,14,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
116,50,images/pattern_3.png,images/choice_trial_6.png,images/choice_trial_5.png,j,f,1,long1low,7000,1,1,14,3,5,6,6,5,images/choice_trial_5.png,images/choice_trial_6.png,0,f,j,1,0
117,32,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,0,1,14,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
118,140,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,j,0,short4high,750,0,1,14,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
119,51,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,15,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
120,105,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,f,0,long1high,7000,0,0,15,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,1,f,f,1,0
121,33,images/pattern_2.png,images/choice_trial_3.png,images/choice_trial_4.png,f,f,0,long2high,7000,1,0,15,2,3,4,3,4,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
122,69,images/pattern_4.png,images/choice_trial_8.png,images/choice_trial_7.png,j,j,0,long3high,7000,0,1,15,4,7,8,8,7,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
123,141,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,f,1,short3low,750,0,1,15,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,0,f,j,0,1
124,123,images/pattern_8.png,images/choice_trial_15.png,images/choice_trial_16.png,f,f,0,short4high,750,0,0,15,8,15,16,15,16,images/choice_trial_15.png,images/choice_trial_16.png,1,f,f,0,0
125,15,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,1,1,15,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
126,87,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,j,1,long4low,7000,0,0,15,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,0,f,j,1,0
127,34,images/pattern_2.png,images/choice_trial_4.png,images/choice_trial_3.png,j,j,0,long2high,7000,0,1,16,2,3,4,4,3,images/choice_trial_3.png,images/choice_trial_4.png,1,f,f,1,0
128,142,images/pattern_5.png,images/choice_trial_10.png,images/choice_trial_9.png,j,j,0,short2high,750,0,1,16,5,9,10,10,9,images/choice_trial_9.png,images/choice_trial_10.png,1,f,f,0,0
129,88,images/pattern_8.png,images/choice_trial_16.png,images/choice_trial_15.png,j,f,1,short4low,750,1,1,16,8,15,16,16,15,images/choice_trial_15.png,images/choice_trial_16.png,0,f,j,0,0
130,70,images/pattern_4.png,images/choice_trial_7.png,images/choice_trial_8.png,f,f,0,long3high,7000,0,0,16,4,7,8,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,f,f,1,0
131,124,images/pattern_7.png,images/choice_trial_13.png,images/choice_trial_14.png,f,f,0,short1high,750,0,0,16,7,13,14,13,14,images/choice_trial_13.png,images/choice_trial_14.png,1,f,f,0,0
132,52,images/pattern_6.png,images/choice_trial_12.png,images/choice_trial_11.png,j,j,0,short3high,750,0,1,16,6,11,12,12,11,images/choice_trial_11.png,images/choice_trial_12.png,1,f,f,0,0
133,106,images/pattern_3.png,images/choice_trial_5.png,images/choice_trial_6.png,f,j,1,long1low,7000,0,0,16,3,5,6,5,6,images/choice_trial_5.png,images/choice_trial_6.png,0,f,j,1,0
134,16,images/pattern_1.png,images/choice_trial_1.png,images/choice_trial_2.png,f,f,0,long4high,7000,1,0,16,1,1,2,1,2,images/choice_trial_1.png,images/choice_trial_2.png,1,f,f,1,0
