rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,participant,rest_warning,exp_name,exp_stage,subjectID,databaseID,test_part,counterbal,stim1,stim2,stim_left,stim_right,chosen_stim_left,chosen_stim_right,leftright_counter,pair,delay,response_correct,chosen_stim,confidence,value_true,text,userinteract,stim,choice_idxs,q_name,response_longshort,labels,response_string,response_times,question_order
1907.7,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,108,627955,0.0-40.0-2.0-4.0-0.0,,,survey,AES,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,109,708013,0.0-40.0-2.0-4.0-1.0,,,survey,AES,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""AES1"":2,""AES2"":1,""AES3"":1,""AES4"":2,""AES5"":1,""AES6"":1,""AES7"":1,""AES8"":1,""Catch"":0,""AES9"":2,""AES10"":2,""AES11"":0,""AES12"":3,""AES13"":3,""AES14"":3,""AES15"":2,""AES16"":2,""AES17"":1,""AES18"":1,""FSS9"":3}","{""trialStart"":2328385.700000003,""AES1"":2126,""AES2"":4188.899999991059,""AES3"":18845.79999999702,""AES4"":21964.09999999404,""AES5"":24378,""AES6"":28244.79999999702,""AES7"":32444,""AES8"":35558.5,""Catch"":41315.89999999106,""AES9"":45695.20000000298,""AES10"":47599.20000000298,""AES11"":51182.29999999702,""AES12"":53322.59999999404,""AES13"":55981.29999999702,""AES14"":58317.5,""AES15"":67159.5,""AES16"":69264.89999999106,""AES17"":72158.89999999106,""AES18"":74181.79999999702,""FSS9"":77582.79999999702}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]"
2854.9,"<p style='font-size: 42px; color: white;'>Great work! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,lmdlab-rest-trial-limit,110,712372,0.0-40.0-3.0,,0,survey,rest,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
2773.2,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,111,715146,0.0-40.0-4.0-0.0-0.0,,,survey,GAD7,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,112,735581,0.0-40.0-4.0-0.0-1.0,,,survey,GAD7,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""GAD1"":2,""GAD2"":2,""GAD3"":2,""GAD4"":1,""GAD5"":0,""GAD6"":1,""GAD7"":1}","{""trialStart"":2415576,""GAD1"":1784.5,""GAD2"":3519.5999999940395,""GAD3"":4880.4000000059605,""GAD4"":7348.5,""GAD5"":11126.20000000298,""GAD6"":14735.79999999702,""GAD7"":17948}","[0,1,2,3,4,5,6]"
3427,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please read each statement and decide <b>how much</b> of thetime the statement describes how you have been feelingduring the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,113,739010,0.0-40.0-4.0-1.0-0.0,,,survey,SDS,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,114,797907,0.0-40.0-4.0-1.0-1.0,,,survey,SDS,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""SDS2"":1,""SDS3"":2,""SDS5"":2,""SDS6"":1,""SDS7"":0,""SDS8"":1,""Catch"":0,""SDS9"":1,""SDS10"":3,""SDS11"":1,""SDS12"":1,""SDS14"":1,""SDS16"":0,""SDS17"":1,""SDS18"":2,""SDS20"":1}","{""trialStart"":2439440.099999994,""SDS2"":2671.4000000059605,""SDS3"":6993.4000000059605,""SDS5"":9273.70000000298,""SDS6"":11412.90000000596,""SDS7"":14042.40000000596,""SDS8"":17689.5,""Catch"":22308.40000000596,""SDS9"":25296.90000000596,""SDS10"":31049.80000001192,""SDS11"":35851,""SDS12"":38340.80000001192,""SDS14"":48160.70000000298,""SDS16"":49704.40000000596,""SDS17"":52381.10000000894,""SDS18"":54371.10000000894,""SDS20"":56559.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"
21734.7,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,115,819643,0.0-40.0-4.0-2.0-0.0,,,survey,PVSS,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,116,927762,0.0-40.0-4.0-2.0-1.0,,,survey,PVSS,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""PVSS1"":3,""PVSS2"":5,""PVSS3"":7,""PVSS4"":8,""PVSS5"":6,""PVSS6"":7,""PVSS7"":8,""PVSS8"":5,""Catch"":8,""PVSS9"":5,""PVSS10"":7,""PVSS11"":7,""PVSS12"":8,""PVSS13"":8,""PVSS14"":8,""PVSS15"":6,""PVSS16"":7,""PVSS17"":8,""PVSS18"":8,""PVSS19"":6,""PVSS20"":6,""PVSS21"":4}","{""trialStart"":2520075.299999997,""PVSS1"":8404.79999999702,""PVSS2"":15723.10000000894,""PVSS3"":20053.79999999702,""PVSS4"":23525.20000000298,""PVSS5"":28830.10000000894,""PVSS6"":34362.20000000298,""PVSS7"":38344,""PVSS8"":41366,""Catch"":44003,""PVSS9"":48126.29999999702,""PVSS10"":52238.60000000894,""PVSS11"":56108.40000000596,""PVSS12"":64482.60000000894,""PVSS13"":66766.79999999702,""PVSS14"":69465.79999999702,""PVSS15"":71864.60000000894,""PVSS16"":76009.79999999702,""PVSS17"":78270.40000000596,""PVSS18"":79970.60000000894,""PVSS19"":87389,""PVSS20"":100818.5,""PVSS21"":105355.10000000894}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]"
1378.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,html-button-response,117,929142,0.0-40.0-4.0-3.0-0.0,,,survey,HPS,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lmdlab-survey-likert,118,974667,0.0-40.0-4.0-3.0-1.0,,,survey,HPS,65980b9029b10879b38af54b,TsVsfTKS0CN8X6WJsRXE6px9VXF3,,,,,,,,,,,,,,,,,,,,,,,"{""hps1"":3,""hps2"":1,""hps3"":3,""hps4"":2,""hps5"":3,""hps6"":4,""hps7"":1,""hps8"":0,""hps9"":3,""hps10"":4,""hps11"":0,""hps12"":3}","{""trialStart"":2629575.400000006,""hps1"":2622.699999988079,""hps2"":6276,""hps3"":9342.09999999404,""hps4"":17882.39999999106,""hps5"":20269,""hps6"":22753.09999999404,""hps7"":26009.39999999106,""hps8"":29473.09999999404,""hps9"":32071.09999999404,""hps10"":35484.79999999702,""hps11"":38464,""hps12"":43048.29999999702}","[0,1,2,3,4,5,6,7,8,9,10,11]"
11973.3,,"{""Q0"":""Nothing to report.""}",lmdlab-survey-text,119,987403,0.0-40.0-5.0,,,survey,feedback,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
4216.6,"<p style=""font-size: 2.0rem; line-height: 1.5"">If you feel affected by the issues raised by these questions and<br>wish to access any further support with regards to your mental<br>health you can find more information on this website:<br><br>https://www.nhs.uk/nhs-services/mental-health-services/where-to-get-urgent-help-for-mental-health/<br><br><br>Should you wish to talk, any time of day or night, you can call<br>116 123 to talk to the Samaritans you can also text ""SHOUT""<br>to 85258 to contact the Shout Crisis Text Line.<br><br><br><br></p>",0,html-button-response,120,991621,0.0-40.0-6.0,,,survey,resources,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
1224.6,"<p style=""font-size: 3rem"">Thank you!  You have finished this part of the experiment!<br><br><br>",0,html-button-response,121,992846,0.0-40.0-7.0,,,survey,finish,65980b9029b10879b38af54b,,,,,,,,,,,,,,,,,,,,,,,,,,
